rank,name,age,earnings,cup,events,rounds,cuts,top10,wins,score,ddis,dacc,girr,putts,sand,birds,year
191,Andrew Putnam,34,"$2,314,939",679,17,57,13,3,0,69.5,283.1,63.0,68.7,1.755,61.7,3.772,2023
192,Paul Haley II,35,"$340,878",137,15,48,9,0,0,71.0,282.4,64.2,65.7,1.762,56.2,3.604,2023
193,Russell Knox,37,"$383,935",168,18,58,11,0,0,70.7,281.8,62.2,69.9,1.797,44.3,3.534,2023
194,Ryan Armour,47,"$387,477",152,16,50,9,0,0,70.7,281.3,68.5,67.6,1.780,44.7,3.320,2023
195,Kevin Kisner,39,"$281,319",70,10,26,5,0,0,72.8,281.2,57.1,57.3,1.802,29.4,3.038,2023
196,Rory Sabbatini,47,"$149,009",55,11,28,2,0,0,72.0,281.0,53.7,59.5,1.767,46.8,3.643,2023
197,Ryan Moore,40,"$345,996",116,12,31,3,1,0,70.9,280.8,67.7,64.0,1.759,58.8,3.323,2023
198,Brendon Todd,37,"$1,742,013",522,14,47,9,3,0,69.9,280.7,66.7,65.5,1.717,59.7,4.128,2023
199,Austin Cook,32,"$268,282",123,16,45,6,0,0,70.8,280.5,64.4,63.2,1.770,60.0,3.689,2023
200,Aaron Baddeley,42,"$760,570",264,12,42,9,2,0,70.0,280.3,59.8,65.3,1.729,48.3,3.714,2023
1,Cameron Champ,27,"$940,458",288,19,56,8,2,0,71.3,321.4,57.8,67.2,1.793,39.3,3.732,2022
2,Rory McIlroy,33,"$8,654,566",-21,16,60,14,10,3,68.9,321.3,58.1,69.9,1.739,61.6,4.533,2022
3,Cameron Young,25,"$6,520,598",-10,25,82,18,7,0,69.6,319.3,58.7,64.9,1.728,48.2,4.415,2022
4,Wyndham Clark,29,"$1,544,055",662,30,97,21,3,0,70.3,319.0,52.6,65.2,1.769,55.5,3.732,2022
5,Jon Rahm,28,"$5,248,220",-11,19,70,18,8,1,69.6,318.9,62.5,71.6,1.768,40.8,4.171,2022
6,Matthew Wolff,23,"$1,485,181",572,16,47,9,2,0,71.3,318.4,50.0,62.2,1.745,44.6,3.809,2022
7,Joseph Bramlett,35,"$409,468",162,29,81,14,0,0,70.9,318.3,52.4,68.9,1.805,36.9,3.667,2022
8,Brandon Hagy,32,"$261,376",106,31,78,11,0,0,71.4,317.9,48.2,62.5,1.786,52.0,3.718,2022
9,Trey Mullinax,30,"$2,172,365",1181,28,82,14,3,1,70.1,317.2,54.9,66.7,1.750,53.3,4.037,2022
10,Taylor Pendrith,31,"$2,330,840",987,21,71,16,3,0,69.7,316.1,57.0,70.7,1.766,55.9,4.042,2022
11,Jhonattan Vegas,38,"$1,097,633",428,22,77,16,1,0,70.2,315.7,55.4,68.1,1.766,48.2,3.688,2022
12,Luke List,38,"$2,734,720",957,28,80,15,3,1,70.5,314.8,55.1,69.7,1.807,47.6,3.663,2022
13,Will Zalatoris,26,"$9,405,082",3680,24,76,17,9,1,69.6,314.7,55.4,70.9,1.734,49.0,4.316,2022
14,Justin Thomas,29,"$6,829,576",-17,21,76,19,10,1,68.8,314.3,54.8,68.3,1.718,62.7,4.579,2022
15,Adam Scott,42,"$2,913,198",-4,20,72,18,5,0,70.1,312.4,55.3,67.7,1.742,52.7,4.014,2022
15,Callum Tarren,32,"$1,034,362",405,26,69,11,3,0,70.4,312.4,51.8,66.9,1.770,46.6,3.739,2022
