Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Brett Phillips,- - -,83,225,5,22,15,7,7.10%,41.80%,0.104,0.233,0.144,0.217,0.249,0.213,0.22,38,3.8,-11.9,5.8,0.1
Nelson Velazquez,CHC,77,206,6,20,26,5,9.20%,31.60%,0.168,0.281,0.205,0.286,0.373,0.291,0.305,87,0.1,-3,-2.9,0.1
Paul DeJong,STL,77,237,6,19,25,3,8.90%,33.30%,0.129,0.213,0.157,0.245,0.286,0.241,0.267,55,-0.7,-13,6,0.1
Pavin Smith,ARI,75,277,9,24,33,1,10.10%,24.20%,0.147,0.262,0.22,0.3,0.367,0.294,0.301,87,0.5,-3.8,-4.7,0.1
Ezequiel Duran,TEX,58,220,5,25,25,4,5.50%,24.50%,0.13,0.295,0.236,0.277,0.365,0.282,0.256,82,-0.2,-4.7,-1.7,0.1
Juan Yepez,STL,76,274,12,27,30,0,5.80%,22.30%,0.194,0.283,0.253,0.296,0.447,0.319,0.286,109,-1.7,1.2,-9.8,0.1
Marwin Gonzalez,NYY,86,207,6,20,18,3,6.80%,26.10%,0.136,0.222,0.185,0.255,0.321,0.257,0.282,65,-1.1,-9.2,3.1,0
Colin Moran,CIN,42,128,5,11,23,0,12.50%,23.40%,0.165,0.234,0.211,0.305,0.376,0.3,0.318,86,-0.9,-3.1,-0.8,0
Josh Smith,TEX,73,253,2,23,16,4,11.10%,19.80%,0.052,0.244,0.197,0.307,0.249,0.262,0.296,68,0.3,-8.9,1.1,0
Max Stassi,LAA,102,375,9,32,30,0,10.10%,29.90%,0.123,0.239,0.18,0.267,0.303,0.258,0.266,63,-2.7,-18.2,6.5,0
Luis Garcia,WSN,93,377,7,29,45,3,2.90%,22.30%,0.133,0.337,0.275,0.295,0.408,0.303,0.305,93,-2.5,-5.6,-6.8,0
Terrin Vavra,BAL,40,103,1,14,12,0,11.70%,18.40%,0.079,0.31,0.258,0.34,0.337,0.303,0.318,97,-1.7,-2,-1,0
